[16:30:13] 📍 Loaded 754 district venues
[16:30:13] 🚀 DISTRICT SCRAPER STARTED
[16:30:15] ⚠ 1015840 → NO DEBUG
[16:30:15] ⚠ 1008404 → NO DEBUG
[16:30:15] ⚠ 1064038 → NO DEBUG
[16:30:15] ⚠ 42945 → NO DEBUG
[16:30:15] ⚠ 1052503 → NO DEBUG
[16:30:15] ⚠ 1065987 → NO DEBUG
[16:30:15] ⚠ 1037514 → NO DEBUG
[16:30:15] ⚠ 4050 → NO DEBUG
[16:30:15] ⚠ 46485 → NO DEBUG
[16:30:15] ⚠ 1036772 → NO DEBUG
[16:30:15] ⚠ 1016381 → NO DEBUG
[16:30:15] ⚠ 1015442 → NO DEBUG
[16:30:15] ⚠ 7137 → NO DEBUG
[16:30:15] ⚠ 4715 → NO DEBUG
[16:30:15] ⚠ 1041473 → NO DEBUG
[16:30:15] ⚠ 18460 → NO DEBUG
[16:30:15] ⚠ 9136 → NO DEBUG
[16:30:15] ⚠ 27219 → NO DEBUG
[16:30:15] ⚠ 16522 → NO DEBUG
[16:30:15] ⚠ 5145 → NO DEBUG
[16:30:15] ⚠ 1041242 → NO DEBUG
[16:30:15] ⚠ 1020547 → NO DEBUG
[16:30:15] ⚠ 1037510 → NO DEBUG
[16:30:15] ⚠ 1041458 → NO DEBUG
[16:30:15] ⚠ 4051 → NO DEBUG
[16:30:15] ⚠ 1084553 → NO DEBUG
[16:30:15] ⚠ 51499 → NO DEBUG
[16:30:15] ⚠ 1041393 → NO DEBUG
[16:30:15] ⚠ 1075745 → NO DEBUG
[16:30:15] ⚠ 1015286 → NO DEBUG
[16:30:15] ⚠ 3965 → NO DEBUG
[16:30:15] ⚠ 7679 → NO DEBUG
[16:30:15] ⚠ 1020453 → NO DEBUG
[16:30:15] ⚠ 9384 → NO DEBUG
[16:30:15] ⚠ 1037531 → NO DEBUG
[16:30:15] ⚠ 9174 → NO DEBUG
[16:30:15] ⚠ 25571 → NO DEBUG
[16:30:15] ⚠ 26281 → NO DEBUG
[16:30:15] ⚠ 1032460 → NO DEBUG
[16:30:15] ⚠ 25045 → NO DEBUG
[16:30:15] ⚠ 30784 → NO DEBUG
[16:30:15] ⚠ 55853 → NO DEBUG
[16:30:15] ⚠ 1016383 → NO DEBUG
[16:30:15] ⚠ 7618 → NO DEBUG
[16:30:15] ⚠ 9194 → NO DEBUG
